M,Openmp Loop Scheduling Method,Chunck Size, T1,T2,T4,T8,S1,S2,S3
1000,static,1,0.000056,0.000178,0.000098,0.000145,1.000000,0.550938,1.479319
1000,dynamic,1,0.000053,0.000040,0.000034,0.000019,1.000000,0.856287,0.559441
1000,guided,1,0.000033,0.000022,0.000018,0.000018,1.000000,0.826087,0.986842
1000,static,2,0.000031,0.000022,0.000015,0.000049,1.000000,0.677419,3.253968
1000,dynamic,2,0.000060,0.000032,0.000020,0.000017,1.000000,0.626866,0.845238
1000,guided,2,0.000031,0.000028,0.000022,0.000018,1.000000,0.779661,0.815217
1000,static,4,0.000033,0.000023,0.000015,0.000016,1.000000,0.649485,1.063492
1000,dynamic,4,0.000032,0.000024,0.000018,0.000016,1.000000,0.750000,0.893333
1000,guided,4,0.000033,0.000021,0.000016,0.000015,1.000000,0.761364,0.940299
1000,static,8,0.000031,0.000022,0.000024,0.000019,1.000000,1.086022,0.792079
1000,dynamic,8,0.000058,0.000025,0.000016,0.000015,1.000000,0.638095,0.940299
1000,guided,8,0.000033,0.000028,0.000017,0.000015,1.000000,0.606838,0.887324
1000,static,16,0.000032,0.000026,0.000018,0.000016,1.000000,0.688073,0.906667
1000,dynamic,16,0.000036,0.000026,0.000024,0.000019,1.000000,0.926606,0.792079
1000,guided,16,0.000061,0.000022,0.000024,0.000082,1.000000,1.097826,3.405941
10000,static,1,0.000453,0.000234,0.000134,0.000078,1.000000,0.572301,0.581851
10000,dynamic,1,0.000387,0.000257,0.000154,0.000192,1.000000,0.599258,1.246130
10000,guided,1,0.000387,0.000241,0.000135,0.000113,1.000000,0.559842,0.837456
10000,static,2,0.000384,0.000237,0.000115,0.000074,1.000000,0.484909,0.645228
10000,dynamic,2,0.000378,0.000233,0.000121,0.000079,1.000000,0.519959,0.651575
10000,guided,2,0.000380,0.000198,0.000114,0.000070,1.000000,0.575904,0.615063
10000,static,4,0.000381,0.000209,0.000129,0.000074,1.000000,0.617580,0.574861
10000,dynamic,4,0.000377,0.000218,0.000127,0.000076,1.000000,0.582057,0.599624
10000,guided,4,0.000379,0.000210,0.000132,0.000076,1.000000,0.628831,0.574007
10000,static,8,0.000399,0.000241,0.000126,0.000071,1.000000,0.523244,0.563327
10000,dynamic,8,0.000402,0.000249,0.000121,0.000079,1.000000,0.486590,0.651575
10000,guided,8,0.000381,0.000198,0.000125,0.000070,1.000000,0.630566,0.559160
10000,static,16,0.000382,0.000237,0.000129,0.000074,1.000000,0.544266,0.573013
10000,dynamic,16,0.000378,0.000203,0.000108,0.000072,1.000000,0.532315,0.666667
10000,guided,16,0.000381,0.000196,0.000113,0.000070,1.000000,0.576642,0.620253
100000,static,1,0.006428,0.003318,0.001709,0.001064,1.000000,0.515054,0.622489
100000,dynamic,1,0.006369,0.003690,0.002056,0.001170,1.000000,0.557149,0.569059
100000,guided,1,0.006380,0.003210,0.001808,0.001017,1.000000,0.563206,0.562442
100000,static,2,0.006409,0.003288,0.002016,0.001036,1.000000,0.613154,0.513955
100000,dynamic,2,0.006396,0.003505,0.001829,0.001110,1.000000,0.521801,0.606831
100000,guided,2,0.006393,0.003898,0.001945,0.001020,1.000000,0.498991,0.524393
100000,static,4,0.006474,0.003327,0.002033,0.001040,1.000000,0.611035,0.511552
100000,dynamic,4,0.006414,0.003415,0.001776,0.001075,1.000000,0.520036,0.605316
100000,guided,4,0.006358,0.003207,0.001628,0.001018,1.000000,0.507620,0.625366
100000,static,8,0.006431,0.003279,0.002015,0.001039,1.000000,0.614484,0.515679
100000,dynamic,8,0.006385,0.004025,0.001839,0.001047,1.000000,0.456936,0.569354
100000,guided,8,0.006402,0.003220,0.001631,0.001015,1.000000,0.506516,0.622277
100000,static,16,0.006408,0.003252,0.001961,0.001037,1.000000,0.603006,0.528875
100000,dynamic,16,0.006378,0.003290,0.001827,0.001038,1.000000,0.555330,0.568054
100000,guided,16,0.006385,0.003209,0.001784,0.001016,1.000000,0.555944,0.569558
1000000,static,1,0.120119,0.060689,0.029234,0.020196,1.000000,0.481701,0.690848
1000000,dynamic,1,0.119088,0.064372,0.026713,0.020609,1.000000,0.414980,0.771490
1000000,guided,1,0.119215,0.059522,0.027486,0.023634,1.000000,0.461777,0.859859
1000000,static,2,0.122465,0.061778,0.025248,0.022058,1.000000,0.408690,0.873652
1000000,dynamic,2,0.119328,0.062585,0.027199,0.021349,1.000000,0.434593,0.784925
1000000,guided,2,0.120111,0.062418,0.027212,0.018995,1.000000,0.435963,0.698042
1000000,static,4,0.119951,0.062098,0.029458,0.024144,1.000000,0.474380,0.819604
1000000,dynamic,4,0.119644,0.063725,0.031416,0.024235,1.000000,0.492996,0.771418
1000000,guided,4,0.119928,0.061573,0.026040,0.018731,1.000000,0.422915,0.719310
1000000,static,8,0.119636,0.061094,0.028918,0.026235,1.000000,0.473336,0.907223
1000000,dynamic,8,0.119503,0.060750,0.024458,0.019097,1.000000,0.402600,0.780814
1000000,guided,8,0.119377,0.059634,0.028922,0.019209,1.000000,0.484993,0.664169
1000000,static,16,0.119657,0.064061,0.027716,0.023460,1.000000,0.432652,0.846434
1000000,dynamic,16,0.119814,0.060054,0.025836,0.018685,1.000000,0.430214,0.723220
1000000,guided,16,0.119499,0.061637,0.027170,0.019591,1.000000,0.440810,0.721051
10000000,static,1,1.841649,0.896174,0.498374,0.411208,1.000000,0.556113,0.825099
10000000,dynamic,1,1.819852,0.910073,0.480209,0.428485,1.000000,0.527660,0.892289
10000000,guided,1,1.791825,0.865387,0.454504,0.395085,1.000000,0.525203,0.869266
10000000,static,2,1.779807,0.880181,0.640812,0.422658,1.000000,0.728046,0.659566
10000000,dynamic,2,1.802384,0.882255,0.461546,0.407062,1.000000,0.523144,0.881953
10000000,guided,2,1.786081,0.870166,0.504708,0.470524,1.000000,0.580013,0.932269
10000000,static,4,1.812184,0.878567,0.457550,0.437469,1.000000,0.520791,0.956112
10000000,dynamic,4,1.849785,1.019440,0.514229,0.433725,1.000000,0.504423,0.843447
10000000,guided,4,1.826601,0.878848,0.489056,0.437050,1.000000,0.556474,0.893660
10000000,static,8,1.787430,0.858812,0.449737,0.403694,1.000000,0.523673,0.897622
10000000,dynamic,8,1.750824,0.861374,0.448071,0.402508,1.000000,0.520182,0.898313
10000000,guided,8,1.751548,0.854147,0.443637,0.398701,1.000000,0.519392,0.898710
10000000,static,16,1.765539,0.880661,0.446403,0.410315,1.000000,0.506895,0.919158
10000000,dynamic,16,1.741933,0.857215,0.443198,0.404929,1.000000,0.517021,0.913653
10000000,guided,16,1.744856,0.851928,0.463724,0.422237,1.000000,0.544323,0.910535
